Roll,race/ethnicity,parental level of education,lunch,test preparation course,math,reading score,writing score
1,group B,bachelor's degree,standard,none,72,72,74
2,group C,some college,standard,completed,69,90,88
3,group B,master's degree,standard,none,90,95,93
4,group A,associate's degree,free/reduced,none,47,57,44
5,group C,some college,standard,none,76,78,75
6,group B,associate's degree,standard,none,71,83,78
7,group B,some college,standard,completed,88,95,92
8,group B,some college,free/reduced,none,40,43,39
9,group D,high school,free/reduced,completed,64,64,67
10,group B,high school,free/reduced,none,38,60,50
11,group C,associate's degree,standard,none,58,54,52
12,group D,associate's degree,standard,none,40,52,43
13,group B,high school,standard,none,65,81,73
14,group A,some college,standard,completed,78,72,70
15,group A,master's degree,standard,none,50,53,58
16,group C,some high school,standard,none,69,75,78
17,group C,high school,standard,none,88,89,86
18,group B,some high school,free/reduced,none,18,32,28
19,group C,master's degree,free/reduced,completed,46,42,46
20,group C,associate's degree,free/reduced,none,54,58,61
21,group D,high school,standard,none,66,69,63
22,group B,some college,free/reduced,completed,65,75,70
23,group D,some college,standard,none,44,54,53
24,group C,some high school,standard,none,69,73,73
25,group D,bachelor's degree,free/reduced,completed,74,71,80
26,group A,master's degree,free/reduced,none,73,74,72
27,group B,some college,standard,none,69,54,55
28,group C,bachelor's degree,standard,none,67,69,75
29,group C,high school,standard,none,70,70,65
30,group D,master's degree,standard,none,62,70,75
31,group D,some college,standard,none,69,74,74
32,group B,some college,standard,none,63,65,61
33,group E,master's degree,free/reduced,none,56,72,65
34,group D,some college,standard,none,40,42,38
35,group E,some college,standard,none,97,87,82
36,group E,associate's degree,standard,completed,81,81,79
37,group D,associate's degree,standard,none,74,81,83
38,group D,some high school,free/reduced,none,50,64,59
39,group D,associate's degree,free/reduced,completed,75,90,88
40,group B,associate's degree,free/reduced,none,57,56,57
41,group C,associate's degree,free/reduced,none,55,61,54
42,group C,associate's degree,standard,none,58,73,68
43,group B,associate's degree,standard,none,53,58,65
44,group B,some college,free/reduced,completed,59,65,66
45,group E,associate's degree,free/reduced,none,50,56,54
46,group B,associate's degree,standard,none,65,54,57
47,group A,associate's degree,standard,completed,55,65,62
48,group C,high school,standard,none,66,71,76
49,group D,associate's degree,free/reduced,completed,57,74,76
50,group C,high school,standard,completed,82,84,82
51,group E,some college,standard,none,53,55,48
52,group E,associate's degree,free/reduced,completed,77,69,68
53,group C,some college,standard,none,53,44,42
54,group D,high school,standard,none,88,78,75
55,group C,some high school,free/reduced,completed,71,84,87
56,group C,high school,free/reduced,none,33,41,43
57,group E,associate's degree,standard,completed,82,85,86
58,group D,associate's degree,standard,none,52,55,49
59,group D,some college,standard,completed,58,59,58
60,group C,some high school,free/reduced,none,0,17,10
61,group E,bachelor's degree,free/reduced,completed,79,74,72
62,group A,some high school,free/reduced,none,39,39,34
63,group A,associate's degree,free/reduced,none,62,61,55
64,group C,associate's degree,standard,none,69,80,71
65,group D,some high school,standard,none,59,58,59
66,group B,some high school,standard,none,67,64,61
67,group D,some high school,free/reduced,none,45,37,37
68,group C,some college,standard,none,60,72,74
69,group B,associate's degree,free/reduced,none,61,58,56
70,group C,associate's degree,standard,none,39,64,57
71,group D,some college,free/reduced,completed,58,63,73
72,group D,some college,standard,completed,63,55,63
73,group A,associate's degree,free/reduced,none,41,51,48
